"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"2954","80","-15.38","-20.00","1","loss","1","html-keyboard-response","608","739320","0.0-3.0-0.196","immediate","trial"
"2622","80","-9.52","-10.00","5","loss","1","html-keyboard-response","611","743796","0.0-3.0-0.197","immediate","trial"
"1618","81","-0.14","-1.00","20","loss","0","html-keyboard-response","614","747283","0.0-3.0-0.198","immediate","trial"
"2455","80","-9.09","-10.00","10","loss","0","html-keyboard-response","617","751590","0.0-3.0-0.199","delayed","trial"
"776","81","1.43","10.00","20","reward","1","html-keyboard-response","620","754232","0.0-3.0-0.200","delayed","trial"
"1366","81","-0.71","-5.00","20","loss","0","html-keyboard-response","623","757450","0.0-3.0-0.201","immediate","trial"
"750","80","7.69","10.00","1","reward","0","html-keyboard-response","626","760046","0.0-3.0-0.202","delayed","trial"
"1135","81","-0.09","-1.00","20","loss","0","html-keyboard-response","629","763041","0.0-3.0-0.203","immediate","trial"
"1299","80","3.33","10.00","2","reward","1","html-keyboard-response","632","766192","0.0-3.0-0.204","immediate","trial"
"727","81","-0.63","-10.00","50","loss","0","html-keyboard-response","635","768782","0.0-3.0-0.205","immediate","trial"
"693","80","2.50","10.00","1","reward","0","html-keyboard-response","638","771319","0.0-3.0-0.206","delayed","trial"
"1711","81","-9.80","-10.00","2","loss","0","html-keyboard-response","641","774887","0.0-3.0-0.207","immediate","trial"
"1172","80","0.33","1.00","2","reward","1","html-keyboard-response","644","777917","0.0-3.0-0.208","immediate","trial"
"824","80","6.67","10.00","50","reward","0","html-keyboard-response","647","780590","0.0-3.0-0.209","delayed","trial"
"2405","81","0.50","5.00","3","reward","1","html-keyboard-response","650","784851","0.0-3.0-0.210","delayed","trial"
"2763","81","9.80","10.00","2","reward","0","html-keyboard-response","653","789459","0.0-3.0-0.211","immediate","trial"
"1154","80","-0.65","-20.00","10","loss","1","html-keyboard-response","656","792469","0.0-3.0-0.212","immediate","trial"
"1253","80","-0.05","-1.00","20","loss","1","html-keyboard-response","659","795567","0.0-3.0-0.213","immediate","trial"
"1457","80","0.29","1.00","5","reward","0","html-keyboard-response","662","798882","0.0-3.0-0.214","delayed","trial"
"1000","81","6.25","10.00","2","reward","1","html-keyboard-response","665","801734","0.0-3.0-0.215","delayed","trial"
"2256","80","-0.99","-1.00","1","loss","0","html-keyboard-response","668","805840","0.0-3.0-0.216","delayed","trial"
"796","81","-1.67","-10.00","50","loss","0","html-keyboard-response","671","808481","0.0-3.0-0.217","immediate","trial"
"809","80","-6.67","-20.00","20","loss","1","html-keyboard-response","674","811145","0.0-3.0-0.218","immediate","trial"
"709","81","-0.63","-10.00","5","loss","0","html-keyboard-response","677","813725","0.0-3.0-0.219","immediate","trial"
"1347","81","19.80","20.00","1","reward","1","html-keyboard-response","680","816921","0.0-3.0-0.220","delayed","trial"
"957","81","-0.19","-5.00","50","loss","0","html-keyboard-response","683","819731","0.0-3.0-0.221","immediate","trial"
"1621","81","0.83","1.00","20","reward","1","html-keyboard-response","686","823215","0.0-3.0-0.222","delayed","trial"
"973","81","-3.33","-5.00","5","loss","0","html-keyboard-response","689","826039","0.0-3.0-0.223","immediate","trial"
"635","81","-6.67","-20.00","2","loss","0","html-keyboard-response","692","828529","0.0-3.0-0.224","immediate","trial"
"1054","80","-1.25","-5.00","1","loss","1","html-keyboard-response","695","831429","0.0-3.0-0.225","immediate","trial"
"618","81","0.10","5.00","50","reward","0","html-keyboard-response","698","833892","0.0-3.0-0.226","immediate","trial"
"1499","81","0.91","10.00","20","reward","1","html-keyboard-response","701","837251","0.0-3.0-0.227","delayed","trial"
"1434","81","0.98","1.00","2","reward","1","html-keyboard-response","704","840528","0.0-3.0-0.228","delayed","trial"
"2369","80","-18.18","-20.00","1","loss","1","html-keyboard-response","707","844744","0.0-3.0-0.229","immediate","trial"
"1905","80","-0.33","-1.00","20","loss","1","html-keyboard-response","710","848499","0.0-3.0-0.230","immediate","trial"
"882","81","0.83","1.00","2","reward","0","html-keyboard-response","713","851235","0.0-3.0-0.231","immediate","trial"
"859","80","-0.31","-5.00","50","loss","1","html-keyboard-response","716","853964","0.0-3.0-0.232","immediate","trial"
"1012","80","1.25","20.00","50","reward","0","html-keyboard-response","719","856826","0.0-3.0-0.233","delayed","trial"
"698","80","0.77","20.00","50","reward","0","html-keyboard-response","722","859381","0.0-3.0-0.234","delayed","trial"
"2068","80","-0.04","-1.00","50","loss","0","html-keyboard-response","725","863301","0.0-3.0-0.235","delayed","trial"
"2589","80","-9.71","-10.00","3","loss","1","html-keyboard-response","728","867733","0.0-3.0-0.236","immediate","trial"
"1159","80","8.00","20.00","5","reward","0","html-keyboard-response","731","870744","0.0-3.0-0.237","delayed","trial"
"1582","80","0.45","5.00","10","reward","0","html-keyboard-response","734","874175","0.0-3.0-0.238","delayed","trial"
"700","81","5.00","10.00","10","reward","1","html-keyboard-response","737","876745","0.0-3.0-0.239","delayed","trial"
"875","80","3.33","5.00","1","reward","0","html-keyboard-response","740","879481","0.0-3.0-0.240","delayed","trial"
"1860","80","6.67","10.00","5","reward","0","html-keyboard-response","743","883188","0.0-3.0-0.241","delayed","trial"
"796","81","-0.07","-10.00","50","loss","1","html-keyboard-response","746","885840","0.0-3.0-0.242","delayed","trial"
"1460","81","4.95","5.00","1","reward","1","html-keyboard-response","749","889155","0.0-3.0-0.243","delayed","trial"
"1589","80","2.50","5.00","1","reward","0","html-keyboard-response","752","892602","0.0-3.0-0.244","delayed","trial"
